N,rel,gamma_xm,skewness,plot_type,method,coverage,outlier_se,power_std,raw_bias,raw_rse_bias,rmse,std_bias,stdMed_bias,stdMed_rse_bias,trim_bias,trim_rse_bias,type1_std,N_lab,rel_lab,gammaint_lab,skew_lab
100,0.8,0.3,skew,Power,tspa,0.956,5.800000000000001,0.347,-0.00987698458439999,-0.0016767222370542845,0.18863100661930146,-0.05242022330918778,-0.08997234768929739,0.05930299147268636,-0.014498002291666645,-0.0776210103734094,0.347,italic(N) == 100,rho == 0.8,\beta_{xm} == 0.3,Skewness == skew
100,0.8,0.3,skew,Power,upi,0.7755,9.35,0.12250000000000005,-0.019977234986957706,-0.30881352813310725,0.5981037821532043,-0.03341124187923598,-0.3634857497403197,-0.24665173875355983,-0.08877616605440578,-0.6270145659454683,0.1225,italic(N) == 100,rho == 0.8,\beta_{xm} == 0.3,Skewness == skew
100,0.8,0.3,symm,Power,lms,0.9315,3.95,0.604,-0.01676223492124999,0.007991578852277081,0.13298459454473494,-0.12702805836879683,-0.08032401914940358,-0.08957312069349666,-0.012485588708333328,-0.050604951194294645,0.604,italic(N) == 100,rho == 0.8,\beta_{xm} == 0.3,Skewness == symm
100,0.8,0.3,symm,Power,lmsfs,0.611,3.6999999999999997,0.9505,-0.02822159132183999,-0.5249815076726871,0.13215024400062272,-0.21854516334076265,-0.1861462262134332,-0.5979534198887043,-0.024761370991666642,-0.5846599678394455,0.9505,italic(N) == 100,rho == 0.8,\beta_{xm} == 0.3,Skewness == symm
100,0.8,0.3,symm,Power,tspa,0.9725,4.3,0.47350000000000003,0.009042193185680012,0.023363944342916776,0.16495605615069017,0.05488458382296409,0.02545612165076502,0.035671203686693076,0.006021043191666686,-0.024844825706502704,0.4735,italic(N) == 100,rho == 0.8,\beta_{xm} == 0.3,Skewness == symm
100,0.8,0.3,symm,Power,upi,0.914,11.600000000000001,0.09199999999999997,0.12986537935167017,-0.06043136228359414,0.5740753888052779,0.23217879808586658,0.07812571647760379,-0.09669997890054527,0.03811784132987395,-0.5135588717863914,0.092,italic(N) == 100,rho == 0.8,\beta_{xm} == 0.3,Skewness == symm
250,0.8,0,skew,TypeI_Error,lms,0.8635,2.9499999999999997,0.13649999999999995,0.0599307267550365,-0.6090957967977368,0.232988195480103,0.2661166551762252,0.06263623907694488,-0.1400418549538197,0.008816171018394168,-0.6183883098105156,0.1365,italic(N) == 250,rho == 0.8,\beta_{xm} == 0,Skewness == skew
250,0.8,0,skew,TypeI_Error,lmsfs,0.1805,5.3,0.8195,-0.0024867988968895003,-0.7916735651581778,0.08936646743746035,-0.027830799676185514,-0.04938625826873681,-0.8782210749892543,-0.0031532032523158334,-0.8719538005230797,0.8195,italic(N) == 250,rho == 0.8,\beta_{xm} == 0,Skewness == skew
250,0.8,0,skew,TypeI_Error,tspa,0.9595,3.3000000000000003,0.04049999999999998,-0.02977030098545565,0.006149745549084873,0.11129511374704358,-0.2775360766768004,-0.29459878377341225,-0.013809984141574194,-0.030140412365759418,-0.013529132595137772,0.0405,italic(N) == 250,rho == 0.8,\beta_{xm} == 0,Skewness == skew
250,0.8,0,skew,TypeI_Error,upi,0.948,9.15,0.052000000000000046,-0.12931046301496535,-0.3044831102525315,0.3375707959025423,-0.41458975526463215,-0.6081504124865217,-0.12287769526875847,-0.10605637327216721,-0.4948605672630835,0.052,italic(N) == 250,rho == 0.8,\beta_{xm} == 0,Skewness == skew
250,0.8,0,symm,TypeI_Error,lms,0.942,2.1,0.05800000000000005,4.321418912399999e-5,0.01450434600520989,0.08307316264649697,5.200643468366284e-4,0.0014355258301929625,-0.008163288225402798,8.04911431873333e-4,-0.0029574411341819484,0.058,italic(N) == 250,rho == 0.8,\beta_{xm} == 0,Skewness == symm
250,0.8,0,symm,TypeI_Error,lmsfs,0.1605,5.75,0.8395,-7.724751090379989e-5,-0.8016482689630727,0.08259841927228652,-9.34984362473839e-4,-9.690604330240326e-4,-0.8731824722345937,8.369898876603334e-4,-0.8698472871915122,0.8395,italic(N) == 250,rho == 0.8,\beta_{xm} == 0,Skewness == symm
250,0.8,0,symm,TypeI_Error,tspa,0.9555,2.25,0.044499999999999984,2.045908036872501e-4,-0.0028180550272880467,0.09671014496611147,0.0021149808777449495,-0.010383916633827277,-0.01763556955553891,2.2896340781208344e-4,-0.017366569082596706,0.0445,italic(N) == 250,rho == 0.8,\beta_{xm} == 0,Skewness == symm
250,0.8,0,symm,TypeI_Error,upi,0.9855,8.35,0.014499999999999957,0.0025407745600863844,-0.09868715229659863,0.18715622542264584,0.013573544703677332,-0.00533233884689995,0.03868000575057118,-0.0012972649407583727,-0.30096127647487225,0.0145,italic(N) == 250,rho == 0.8,\beta_{xm} == 0,Skewness == symm
250,0.8,0.3,skew,Power,lms,0.8525,3.45,0.901,0.026971342014850012,-0.3473573371320937,0.13826520589542343,0.19884070240643706,0.05481221534079963,-0.13168075054141015,0.006479586699999984,-0.3700442406512654,0.901,italic(N) == 250,rho == 0.8,\beta_{xm} == 0.3,Skewness == skew
250,0.8,0.3,skew,Power,lmsfs,0.636,2.7,0.9815,-0.008438614916804988,-0.5217368020234565,0.08700888423720222,-0.09742068308609969,-0.08545883983374736,-0.5582286476163913,-0.0078729082166666409,-0.5618633933168127,0.9815,italic(N) == 250,rho == 0.8,\beta_{xm} == 0.3,Skewness == skew
250,0.8,0.3,skew,Power,tspa,0.952,3.15,0.7915,-0.00923224659313999,0.04598613749572267,0.10637891718542093,-0.08709334045441752,-0.09447031588458855,0.038147575430603986,-0.01035853264166664,0.022878669412998542,0.7915,italic(N) == 250,rho == 0.8,\beta_{xm} == 0.3,Skewness == skew
250,0.8,0.3,skew,Power,upi,0.86,10.15,0.35550000000000004,0.07385980850740097,-0.41773448920773903,0.43740531742742295,0.17127623181297133,-0.029546290697537007,-0.25349298608513204,0.0027641453904544977,-0.5915037090626016,0.3555,italic(N) == 250,rho == 0.8,\beta_{xm} == 0.3,Skewness == skew
250,0.8,0.3,symm,Power,lms,0.948,3.05,0.935,-0.006196873201499989,0.03721657150620694,0.0778117445567357,-0.07987308916094328,-0.04641564026665659,0.02052544125460165,-0.00493702804166668,0.0179775593389091,0.935,italic(N) == 250,rho == 0.8,\beta_{xm} == 0.3,Skewness == symm
250,0.8,0.3,symm,Power,lmsfs,0.673,4.3999999999999995,0.9625,-0.009138944342499988,-0.42479742839286405,0.07799352942578071,-0.11795897137022085,-0.09659777040684557,-0.5198312838227144,-0.008039999699999967,-0.5241056445117547,0.9625,italic(N) == 250,rho == 0.8,\beta_{xm} == 0.3,Skewness == symm
250,0.8,0.3,symm,Power,tspa,0.9705,1.9,0.9095,0.01557311397650001,0.08591864930306214,0.09616202294084503,0.16407195028988647,0.15330860370323857,0.10992025310928066,0.013645954150000028,0.06814552291735465,0.9095,italic(N) == 250,rho == 0.8,\beta_{xm} == 0.3,Skewness == symm
250,0.8,0.3,symm,Power,upi,0.9625,9.9,0.473,0.1345311197763396,-0.10615626310754855,0.32810090557715804,0.4494460055355199,0.36812876409799133,-0.00591772553902703,0.077543564432773,-0.35964826081565626,0.473,italic(N) == 250,rho == 0.8,\beta_{xm} == 0.3,Skewness == symm
500,0.8,0,skew,TypeI_Error,lms,0.932,1.7999999999999998,0.06799999999999995,0.003488268463544,-0.2541345307636921,0.08456278877442314,0.0412754502573219,-0.0063057654864518906,-0.040240022263813624,-8.751468782600001e-4,-0.26503486230004436,0.068,italic(N) == 500,rho == 0.8,\beta_{xm} == 0,Skewness == skew
500,0.8,0,skew,TypeI_Error,lmsfs,0.147,5.45,0.853,-8.542943472400001e-4,-0.8188488329481793,0.06455357483520065,-0.013231731146320118,-0.014456875320873228,-0.9001700045178086,-0.0015160307445666666,-0.8931872681855352,0.853,italic(N) == 500,rho == 0.8,\beta_{xm} == 0,Skewness == skew
500,0.8,0,skew,TypeI_Error,tspa,0.9405,2.1,0.0595,-0.027472313070871,-0.016166151095058034,0.0813583890628332,-0.35865148310339645,-0.35944038254674227,-0.03028906763020789,-0.027494377349785,-0.026433143332303732,0.0595,italic(N) == 500,rho == 0.8,\beta_{xm} == 0,Skewness == skew
500,0.8,0,skew,TypeI_Error,upi,0.8835,7.049999999999999,0.11650000000000005,-0.15549485754226133,-0.2019599817736637,0.25308616879613166,-0.7785074193914912,-0.9321016496040287,-0.062169799963576744,-0.13107460195330892,-0.35220036031228963,0.1165,italic(N) == 500,rho == 0.8,\beta_{xm} == 0,Skewness == skew
500,0.8,0,symm,TypeI_Error,lms,0.9425,2.65,0.057499999999999996,0.001149956923180565,0.008786498890483108,0.058692840243994696,0.01959165927227994,-0.005442852844202021,-0.03912178101156916,0.0012758269653009417,-0.005080131145054456,0.0575,italic(N) == 500,rho == 0.8,\beta_{xm} == 0,Skewness == symm
500,0.8,0,symm,TypeI_Error,lmsfs,0.1575,6.2,0.8425,0.00117103673739,-0.7936001726507689,0.05901375909741648,0.01984239820005387,-0.006799991288481167,-0.8986768439616478,0.0012607521206500002,-0.8901111471915999,0.8425,italic(N) == 500,rho == 0.8,\beta_{xm} == 0,Skewness == symm
500,0.8,0,symm,TypeI_Error,tspa,0.9545,2,0.045499999999999985,9.484003284464998e-4,1.7099292821232126e-5,0.06740531661479138,0.014067986225497242,-0.012492548799240237,-0.01433169049916938,6.729482015774998e-4,-0.006975739806666992,0.0455,italic(N) == 500,rho == 0.8,\beta_{xm} == 0,Skewness == symm
500,0.8,0,symm,TypeI_Error,upi,0.9825,6.5,0.01749999999999996,8.106472371299896e-4,-0.049568639023728545,0.10962495677511566,0.007393085781969138,-0.004494035451043577,-0.013328908857673794,-2.535589066722126e-4,-0.1509510457571498,0.0175,italic(N) == 500,rho == 0.8,\beta_{xm} == 0,Skewness == symm
500,0.8,0.3,skew,Power,lms,0.9515,2.1999999999999997,0.9965,-0.0012430721384999888,-0.04225165302951306,0.0639200074320094,-0.019446124195625848,-0.051672322096926016,0.016808247186687275,-0.0020592681333333474,-0.05586334900153633,0.9965,italic(N) == 500,rho == 0.8,\beta_{xm} == 0.3,Skewness == skew
500,0.8,0.3,skew,Power,lmsfs,0.6515,2.9499999999999997,0.9825,-9.82349153999989e-4,-0.47578303743476125,0.05888819430533222,-0.01667974750949734,-5.445986303892234e-4,-0.5317745927855736,-5.696844083333263e-4,-0.5287315027097546,0.9825,italic(N) == 500,rho == 0.8,\beta_{xm} == 0.3,Skewness == skew
500,0.8,0.3,skew,Power,tspa,0.9595,2.0500000000000003,0.984,-0.0028726787604999885,0.06863676283717113,0.07259985449352713,-0.03958976843944407,-0.05494832275154469,0.08896559951624838,-0.003621303666666631,0.05795729820195894,0.984,italic(N) == 500,rho == 0.8,\beta_{xm} == 0.3,Skewness == skew
500,0.8,0.3,skew,Power,upi,0.904,9.8,0.6795,0.10524536208356512,-0.36630565830089434,0.3180285598237425,0.35060244796016715,0.16589303957392734,-0.27909670998916436,0.04584919374641333,-0.526099700406954,0.6795,italic(N) == 500,rho == 0.8,\beta_{xm} == 0.3,Skewness == skew
500,0.8,0.3,symm,Power,lms,0.955,2.35,0.9995,-0.0033904598499999894,0.0460975633682581,0.05373156032280857,-0.06321015762783068,-0.028054278151564783,0.019270920294409244,-0.0025405747833333048,0.035129815446041324,0.9995,italic(N) == 500,rho == 0.8,\beta_{xm} == 0.3,Skewness == symm
500,0.8,0.3,symm,Power,lmsfs,0.6945,6.4,0.9515,-0.002607836223499988,-0.33809642639946436,0.05423782861857114,-0.04812514013078848,-0.015957925248329813,-0.5017365602161478,-0.0018394687416666278,-0.5003742916447792,0.9515,italic(N) == 500,rho == 0.8,\beta_{xm} == 0.3,Skewness == symm
500,0.8,0.3,symm,Power,tspa,0.971,2.1,0.999,0.02102721834800001,0.09256224439026783,0.06981637581979677,0.31576530532335817,0.3274289820108812,0.10399728975945965,0.020947853816666695,0.08165774279059557,0.999,italic(N) == 500,rho == 0.8,\beta_{xm} == 0.3,Skewness == symm
500,0.8,0.3,symm,Power,upi,0.985,7.3,0.8845,0.12421880169141579,-0.12991696353387994,0.2357808188220086,0.6196829314613062,0.6182304108868959,-0.01011166174940803,0.09300369986722318,-0.2847879663759749,0.8845,italic(N) == 500,rho == 0.8,\beta_{xm} == 0.3,Skewness == symm
